machine_id,storename,daystart,dayend,machine_store,logs_store,delta_store,percent_store,machine_pure1,logs_pure1,delta_pure1,percent_pure1,machine_min1,logs_min1,delta_min1,percent_min1,machine_pure2,logs_pure2,delta_pure2,percent_pure2,machine_min2,logs_min2,delta_min2,percent_min2
421,WinCo Happy Valley,2025-06-30,2025-10-27,0.00,55428.00,-55428.00,-100.00,78480.00,40040.00,38440.00,96.00,0.00,0.00,0.00,0.00,0.00,41921.00,-41921.00,0.00,0.00,0.00,0.00,0.00
424,Sprouts West Melbourne,2025-06-27,2025-10-27,0.00,11369.00,-11369.00,-100.00,0.00,4563.00,-4563.00,-100.00,0.00,4293.00,-4293.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
425,Thyme Ypsilanti,2025-06-28,2025-10-27,0.00,1770.00,-1770.00,-100.00,0.00,8265.00,-8265.00,-100.00,0.00,1793.00,-1793.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
427,Thyme Mishawaka,2025-06-30,2025-09-19,0.00,340.00,-340.00,-100.00,2940.00,2078.00,862.00,41.48,350.00,275.00,75.00,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
428,Sprouts Dallas,2025-06-27,2025-10-23,9360.00,9458.00,-98.00,-1.04,0.00,2346.00,-2346.00,-100.00,0.00,1746.00,-1746.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
429,Thyme Fishers,2025-06-29,2025-10-30,0.00,2470.00,-2470.00,-100.00,0.00,19999.00,-19999.00,-100.00,0.00,1776.00,-1776.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
430,WinCo Las Vegas,2025-06-28,2025-10-21,71940.00,7051.00,64889.00,920.28,35320.00,37537.00,-2217.00,-5.91,0.00,0.00,0.00,0.00,0.00,35017.00,-35017.00,0.00,0.00,0.00,0.00,0.00
432,WinCo Goodyear,2025-06-30,2025-10-27,0.00,3365.00,-3365.00,-100.00,51720.00,52096.00,-376.00,-0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
433,WinCo Pittsburg,2025-06-25,2025-10-30,217900.00,24711.00,193189.00,781.79,0.00,101522.00,-101522.00,-100.00,0.00,0.00,0.00,0.00,0.00,31941.00,-31941.00,0.00,0.00,0.00,0.00,0.00
434,Sprouts Lathrop,2025-07-02,2025-10-29,6660.00,7158.00,-498.00,-6.96,18220.00,19460.00,-1240.00,-6.37,11140.00,11892.00,-752.00,-6.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
436,WinCo Visalia,2025-06-01,2025-10-31,21712.00,22021.00,-309.00,-1.40,0.00,69107.00,-69107.00,-100.00,0.00,0.00,0.00,0.00,0.00,71000.00,-71000.00,0.00,0.00,0.00,0.00,0.00
437,WinCo Roseburg,2025-06-30,2025-10-27,940.00,2486.00,-1546.00,-62.19,0.00,24436.00,-24436.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
438,Thyme Downers Grove,2025-06-29,2025-10-26,0.00,37950.00,-37950.00,-100.00,0.00,6291.00,-6291.00,-100.00,0.00,589.00,-589.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
439,WinCo Spokane,2025-06-27,2025-10-21,0.00,5357.00,-5357.00,-100.00,80330.00,80337.00,-7.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
440,WinCo Eagle,2025-06-28,2025-10-31,117600.00,16203.00,101397.00,625.79,22900.00,31541.00,-8641.00,-27.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
441,Sprouts Miramar,2025-06-26,2025-10-30,70080.00,70032.00,48.00,0.07,3600.00,3422.00,178.00,5.20,4950.00,4902.00,48.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
442,Sprouts Stuart,2025-06-25,2025-10-28,3390.00,39887.00,-36497.00,-91.50,550.00,6724.00,-6174.00,-91.82,550.00,5208.00,-4658.00,-89.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
443,Sprouts Manassas,2025-06-04,2025-11-06,9050.00,9056.00,-6.00,-0.07,0.00,4471.00,-4471.00,-100.00,0.00,4464.00,-4464.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
444,WinCo Tacoma,2025-06-30,2025-10-19,400.00,453.00,-53.00,-11.70,0.00,16810.00,-16810.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
445,WinCo Hillsboro,2025-06-23,2025-10-27,0.00,12328.00,-12328.00,-100.00,16140.00,66966.00,-50826.00,-75.90,20.00,0.00,20.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
446,Sprouts Las Colinas,2025-06-29,2025-11-01,0.00,8915.00,-8915.00,-100.00,0.00,44469.00,-44469.00,-100.00,0.00,32889.00,-32889.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
447,Thyme Naperville,2025-06-24,2025-10-28,0.00,1490.00,-1490.00,-100.00,914.00,10463.00,-9549.00,-91.26,960.00,1175.00,-215.00,-18.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
449,Thyme Cincinnati,2025-07-01,2025-10-27,0.00,4220.00,-4220.00,-100.00,3680.00,3900.00,-220.00,-5.64,480.00,501.00,-21.00,-4.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
451,Sprouts Visalia,2025-06-25,2025-10-27,210.00,2364.00,-2154.00,-91.12,550.00,7285.00,-6735.00,-92.45,320.00,4846.00,-4526.00,-93.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
452,Lees Herriman,2025-06-25,2025-10-30,5970.00,4971.00,999.00,20.10,7680.00,11410.00,-3730.00,-32.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
453,Sprouts York,2025-06-05,2025-10-31,2980.00,2919.00,61.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
454,WinCo Glendale,2025-06-02,2025-11-04,20.00,9093.00,-9073.00,-99.78,0.00,64693.00,-64693.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
456,WinCo Bend,2025-06-01,2025-11-01,60.00,0.00,60.00,100.00,24130.00,24142.00,-12.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
457,Harmons St. George,2025-07-08,2025-10-27,0.00,4505.00,-4505.00,-100.00,17210.00,22621.00,-5411.00,-23.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
